Auteur,Adresse,Lien,Type-lien
"Picard & Nous"" ",newsletter@mail.picard.fr,"https://mail.picard.fr/optiext/optiextension.dll?ID=sWXsXiV3rAvQBqnRv1ZMhfjqn%2B144WSN2CWE3e2zw07VISwcBwxjwKj5WnQioWpB%2BFyKrJOzZymdM5_d5Pw%2B8PWeg_CIk>,",lien
"Marianne de Tohapi"" ",marianne@promos.tohapi.com,"https://promos.tohapi.com/optiext/optiextension.dll?ID=RjiRlyi%2BfvEjxNTIO7wtZjFfTKPpRuMuuMTC5wFxM3gmI5zBJf0XyZpwID5J%2Be_X05lsd3DuiBVqDz19Fh2twd7UnmqZq>,",lien
ResearchGate ,no-reply@researchgatemail.net,https://www.researchgate.net/go.Out.publicationAdded.html?ch=reg&loginT=c0Cvb5EnwjH2EiNX5HJuNznhlpZTp3kUJo6Ef1tLMStpGG3G2nwnLOJdMZR2NiNhoA645Bt_OpFYukz43KE&cp=re442_pb_hnsg_nnaas_u3&ev=list-usub>,lien
"Instagram"" ",security@mail.instagram.com,https://instagram.com/accounts/remove/revoke_wrong_email/?uidb36=4japvw&token=68v-6ba6848b352963bef6fa0379a20e8eb0&nonce=uz2w5UD6&encoded_email=bHVjYXNiYXJickBvdXRsb29rLmNvbQ>,lien
"Esselunga"" ",info@newsletter.esselunga.it,"https://click.nl.esselunga.it/subscription_center.aspx?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJtaWQiOiI1MTAwMDM1ODUiLCJzIjoiMTYxODExMTA1IiwibGlkIjoiMjAzIiwiaiI6IjE3ODExMiIsImpiIjoiMzM4NjUiLCJkIjoiNTAwMDAzIn0.z3rxja77F_FijdpNQWRyYJXpZCgcBTKE04qk2YNGLPg>,",lien
"Katherine Bautista"" ",katherine_bautista@email.wolfram.com,unsubscribe@unsub.spmta.com,mailto
"Ivan at Notion"" ",ivan@mail.notion.so,unsubscribe@unsub.spmta.com,mailto
"Carte Avantage"" ",noreply@info.sncf.com,"https://click.info.sncf.com/subscription_center.aspx?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJtaWQiOiI3MzA2NzI2IiwicyI6IjQ3OTEyOTkxMyIsImxpZCI6IjE1IiwiaiI6IjgxMzY0IiwiamIiOiI3MSIsImQiOiI3MDE5NyJ9.kdcv56aEfYqQEsvTO7trhpuKipfCnnPXDk9NI0uoAMs>,",lien
"Dr Ramiz Nathani"" ",team@email.researcher-app.com,"https://click.email.researcher-app.com/subscription_center.aspx?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJtaWQiOiI1MTAwMDI2ODQiLCJzIjoiMTQ3ODQ2MTciLCJsaWQiOiIxMDA5IiwiaiI6IjE2OTA4NCIsImpiIjoiMTEyNjI2MSIsImQiOiI1MDAwMDYifQ.sv4EGHa08Vmm_rk5BlexJLqAmqqJHvwBaZxeRgG-f1k>,",lien
"SAS"" ",no-reply@msg.flysas.com,"https://click.msg.flysas.com/subscription_center.aspx?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJtaWQiOiI1MTAwMDczNTEiLCJzIjoiMTMyNDk2ODkwIiwibGlkIjoiMTEzIiwiaiI6IjE5ODU0NyIsImpiIjoiNDQ2IiwiZCI6IjUwMDAwMyJ9.4xcFFzV4_-z03Jv5AEBXIySpCuVEivTxqM8Krm4_eEA>,",lien
"AnglaisFacile.com"" ",newsletter@bacanglais.com,"https://s3s-main.net/l-uns/12548549/3682015/2136749578.html>,",lien
"=?utf-8?B?VW5pdmVyc2l0w6kgUGFyaXMgQ2l0w6k=?="" ",communication@u-paris.fr,"https://trailer.web-view.net/unsubscribe/0X42CACB17C0E7CB50F345C5B3BC7EDAED5DA680B2D48575B5FAA9D22E41C7EC7A552835B8FF6C759D.htm>,",lien
"Club Eurostar"" ",loyalty@e.eurostar.com,"https://click.e.eurostar.com/subscription_center.aspx?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJtaWQiOiI3MjA3NTk4IiwicyI6IjYyNDQwMTkwNCIsImxpZCI6IjQ2OSIsImoiOiI1ODQ1OTgzIiwiamIiOiIxMDE1IiwiZCI6IjcwMTk1In0.SqLAXopa7zRa1vZ_99wGyeNNq3Euy5go-mG74jIAAtI>,",lien
"Paul Barnett"" ",paul_barnett@email.wolfram.com,unsubscribe@unsub.spmta.com,mailto
"Mads Bahrami"" ",mohammad_bahrami@email.wolfram.com,unsubscribe@unsub.spmta.com,mailto
PayPal  ,paypal@mail.paypal.fr,bounce-HP2v60000018654b6a0348c36eff4bbe5c7c0127@mail.paypal.fr,mailto
=?windows-1252?Q?A=E9roplan?= ,communications@Mail.aircanada.com,bounce@mail.aircanada.com,mailto
